a,b,j,H_5,v_2
15,6,2,917244000,5
15,6,3,777924000,5
15,6,4,629364960,5
15,6,5,481312800,5
15,6,6,343893600,5
15,6,7,226044000,5
15,6,10,30088800,5
15,6,11,11642400,5
15,6,12,11988000,5
15,8,8,415303200,5
15,8,9,244205280,5
15,9,2,2915399520,5
15,9,6,1360510560,5
15,9,10,228584160,5
15,11,2,5415228000,5
15,11,3,4834533600,5
15,11,6,2797308000,5
15,11,7,2134188000,5
15,11,10,632383200,5
15,11,11,346312800,5
15,12,8,2206945440,5
15,12,9,1528178400,5
15,13,3,8370280800,5
15,13,7,4089439200,5
15,13,11,886284000,5
15,14,4,9510268320,5
15,14,5,8185937760,5
15,14,12,765767520,5
16,0,2,13543200,5
16,0,6,3088800,5
16,0,10,54237600,5
16,1,5,16279200,5
16,1,7,5594400,5
16,3,1,261424800,5
16,3,7,38253600,5
16,3,9,9133920,5
16,4,2,413108640,5
16,4,6,134814240,5
16,4,10,9476640,5
16,5,5,361773600,5
16,5,7,166168800,5
16,7,1,1927648800,5
16,7,7,519573600,5
16,7,9,195164640,5
16,8,2,2533581600,5
16,8,6,1161770400,5
16,8,10,188791200,5
16,9,5,2226299040,5
16,9,7,1296116640,5
16,11,1,7232752800,5
16,11,7,2760861600,5
16,11,9,1398952800,5
16,12,2,8787895200,5
16,12,6,4884026400,5
16,12,10,1359136800,5
16,13,5,7872199200,5
16,13,7,5246287200,5
16,15,1,19486202400,5
16,15,7,9152287200,5
16,15,9,5494111200,5
16,16,2,22667623200,5
16,16,6,14180292000,5
16,16,10,5366109600,5
17,2,2,131392800,5
17,2,3,105199200,5
17,2,4,79535520,5
17,2,5,56181600,5
17,2,6,36597600,5
17,2,7,21621600,5
17,2,10,10346400,5
17,2,11,33026400,5
17,2,12,101138400,5
17,6,4,985762080,5
17,6,5,776181600,5
17,6,12,18770400,5
17,10,2,6033736800,5
17,10,3,5405421600,5
17,10,4,4699447200,5
17,10,5,3948501600,5
17,10,6,3189780000,5
17,10,7,2461687200,5
17,10,10,780012000,5
17,10,11,446292000,5
17,10,12,225957600,5
17,14,4,14506832160,5
17,14,5,12665846880,5
17,14,12,1602643680,5
18,0,2,20512800,5
18,0,3,15876000,5
18,0,6,5508000,5
18,0,7,4384800,5
18,0,10,57163680,5
18,0,11,145965600,5
18,1,1,79057440,5
18,1,7,10768800,5
18,1,9,8920800,5
18,3,2,331420320,5
18,3,6,110380320,5
18,3,10,11481120,5
18,4,2,613632096,5
18,4,3,517085856,5
18,4,6,226018656,5
18,4,7,149380896,5
18,4,10,23306976,5
18,4,11,14151456,5
18,5,3,895618080,5
18,5,5,573219360,5
18,5,11,24346080,5
18,7,2,2552346720,5
18,7,6,1191258720,5
18,7,10,211972320,5
18,8,2,3735879840,5
18,8,3,3310100640,5
18,8,6,1849508640,5
18,8,7,1387441440,5
18,8,10,383876640,5
18,8,11,205143840,5
18,9,1,5762012256,5
18,9,7,2115148896,5
18,9,9,1044108576,5
18,11,2,9797467680,5
18,11,6,5552802720,5
18,11,10,1641417120,5
18,12,2,12909869280,5
18,12,3,11764962720,5
18,12,6,7575418080,5
18,12,7,6123509280,5
18,12,10,2447434080,5
18,12,11,1591080480,5
18,13,3,15307457760,5
18,13,5,11943204960,5
18,13,11,2375667360,5
18,15,2,26764547040,5
18,15,6,17069603040,5
18,15,10,6783527520,5
18,16,2,33225081120,5
18,16,3,30818581920,5
18,16,6,21670054560,5
18,16,7,18329394720,5
18,16,10,9089408160,5
18,16,11,6610966560,5
18,17,1,43076103840,5
18,17,7,23162660640,5
18,17,9,15432893280,5
19,0,8,8134560,5
19,0,9,21178080,5
19,1,2,79057440,5
19,1,6,23133600,5
19,1,10,25149600,5
19,3,2,398930400,5
19,3,3,332877600,5
19,3,6,140767200,5
19,3,7,92080800,5
19,3,10,16264800,5
19,3,11,18295200,5
19,4,8,120849120,5
19,4,9,68130720,5
19,5,3,1082964960,5
19,5,7,371679840,5
19,5,11,36912480,5
19,6,2,2009953440,5
19,6,3,1754517600,5
19,6,4,1475992800,5
19,6,5,1189792800,5
19,6,6,912592800,5
19,6,7,660299040,5
19,6,10,155325600,5
19,6,11,77695200,5
19,6,12,39140640,5
19,8,8,1256762400,5
19,8,9,846165600,5
19,9,2,6335889120,5
19,9,6,3402205920,5
19,9,10,881647200,5
19,11,2,11725153440,5
19,11,3,10667685600,5
19,11,6,6816564000,5
19,11,7,5489699040,5
19,11,10,2159661600,5
19,11,11,1394210400,5
19,12,8,5957370720,5
19,12,9,4477082400,5
19,13,3,18374320800,5
19,13,7,10227549600,5
19,13,11,3152397600,5
19,14,4,21259919520,5
19,14,5,18782440800,5
19,14,12,3006004320,5
19,16,8,18629488800,5
19,16,9,14947999200,5
19,17,2,48742980000,5
19,17,6,33007917600,5
19,17,10,15133946400,5
19,19,2,71337863520,5
19,19,3,66974735520,5
19,19,6,49966593120,5
19,19,7,43543775520,5
19,19,10,24752095200,5
19,19,11,19270674720,5
20,0,3,23680800,5
20,0,7,6999840,5
20,0,11,152272800,5
20,1,5,43092000,5
20,1,7,18943200,5
20,3,3,400586400,5
20,3,5,246103200,5
20,3,11,21218400,5
20,4,3,752254560,5
20,4,7,247534560,5
20,4,11,27295200,5
20,5,5,866224800,5
20,5,7,470564640,5
20,7,3,3229100640,5
20,7,5,2295597600,5
20,7,11,222631200,5
20,8,3,4763152800,5
20,8,7,2168100000,5
20,8,11,410810400,5
20,9,5,5064141600,5
20,9,7,3274155360,5
20,11,3,12716589600,5
20,11,5,9839556000,5
20,11,11,1854597600,5
20,12,3,16834134240,5
20,12,7,9283125600,5
20,12,11,2807791200,5
20,13,5,17427319200,5
20,13,7,12495261600,5
20,15,3,35294162400,5
20,15,5,28770688800,5
20,15,11,8075440800,5
20,16,3,43947424800,5
20,16,7,27311508000,5
20,16,11,10927677600,5
20,17,5,44950701600,5
20,17,7,34403896800,5
20,19,3,79597395360,5
20,19,5,67186173600,5
